camera_ip,nvr,channel,name,manage_port,online,remark
172.168.6.15,172.168.6.2,D5,N1-B3C6AI,8000,TRUE,Door Cam
172.168.6.45,172.168.6.2,D35,N1-B2C6AI,8000,TRUE,Door Cam
172.168.6.59,172.168.6.2,D49,N1-B2C20AI,8000,TRUE,Door Cam
172.168.6.77,172.168.6.3,D4,N1-B1C56AR,8000,TRUE,Door Cam
172.168.6.85,172.168.6.3,D9,N1-B1C14AD,8000,TRUE,Door Cam
172.168.6.140,172.168.6.4,D2,N1-1C7BD,8000,TRUE,Door Cam
172.168.7.200,172.168.7.2,D6,IPdome 01,8000,TRUE,Door Cam 
172.168.7.203,172.168.7.2,D9,IPdome 01,8000,TRUE,Door Cam
172.168.7.211,172.168.7.2,D12,IPdome 01,8000,TRUE,Door Cam
172.168.8.23,172.168.8.2,D8,N2-B3C14AR,8000,TRUE,Door Cam
172.168.8.53,172.168.8.2,D22,IPCamera 12,8000,TRUE,Door Cam
172.168.8.73,172.168.8.2,D32,N2-B1C09A,8000,TRUE,Door Cam
172.168.8.75,172.168.8.2,D34,N2-B1C11A,8000,TRUE,Door Cam
172.168.8.142,172.168.8.3,D30,N2-1C20B,8000,TRUE,Door Cam
172.168.10.139,172.168.10.4,D1,N3-1C05A,8000,TRUE,Door Cam
172.168.10.156,172.168.10.4,D56,N3-1C23A,8000,TRUE,Door Cam
172.168.10.163,172.168.10.4,D17,N3-1C05B,8000,TRUE,Door Cam
172.168.10.239,172.168.10.5,D31,N3-3C05A,8000,TRUE,Door Cam
172.168.11.63,172.168.11.2,D64,LB5-2C1,8000,TRUE,Door Cam
172.168.11.124,172.168.11.3,D40,LB5-2C7,8000,TRUE,Door Cam
